,Unnamed: 0,dishwasher
2153725,2153725,764.0
2153726,2153726,771.0
2153727,2153727,774.0
2153728,2153728,774.0
2153729,2153729,759.0
2153730,2153730,778.0
2153731,2153731,770.0
2153732,2153732,765.0
2153733,2153733,768.0
2153734,2153734,768.0
2153735,2153735,773.0
2153736,2153736,768.0
2153737,2153737,768.0
2153738,2153738,762.0
2153739,2153739,762.0
2153740,2153740,767.0
2153741,2153741,767.0
2153742,2153742,770.0
2153743,2153743,757.0
2153744,2153744,774.0
2153745,2153745,763.0
2153746,2153746,764.0
2153747,2153747,769.0
2153748,2153748,769.0
2153749,2153749,767.0
2153750,2153750,766.0
2153751,2153751,759.0
2153752,2153752,756.0
2153753,2153753,767.0
2153754,2153754,764.0
2153755,2153755,772.0
2153756,2153756,763.0
2153757,2153757,771.0
2153758,2153758,771.0
2153759,2153759,761.0
2153760,2153760,763.0
2153761,2153761,772.0
2153762,2153762,767.0
2153763,2153763,767.0
2153764,2153764,769.0
2153765,2153765,764.0
2153766,2153766,767.0
2153767,2153767,768.0
2153768,2153768,761.0
2153769,2153769,763.0
2153770,2153770,764.0
2153771,2153771,773.0
2153772,2153772,761.0
2153773,2153773,771.0
2153774,2153774,767.0
2153775,2153775,766.0
2153776,2153776,768.0
2153777,2153777,768.0
2153778,2153778,772.0
2153779,2153779,773.0
2153780,2153780,765.0
2153781,2153781,764.0
2153782,2153782,775.0
2153783,2153783,780.0
2153784,2153784,757.0
2153785,2153785,765.0
2153786,2153786,770.0
2153787,2153787,775.0
2153788,2153788,760.0
2153789,2153789,771.0
2153790,2153790,774.0
2153791,2153791,764.0
2153792,2153792,764.0
2153793,2153793,765.0
2153794,2153794,778.0
2153795,2153795,770.0
2153796,2153796,769.0
2153797,2153797,761.0
2153798,2153798,769.0
2153799,2153799,772.0
2153800,2153800,766.0
2153801,2153801,769.0
2153802,2153802,768.0
2153803,2153803,772.0
2153804,2153804,765.0
2153805,2153805,768.0
2153806,2153806,773.0
2153807,2153807,761.0
2153808,2153808,768.0
2153809,2153809,771.0
2153810,2153810,766.0
2153811,2153811,771.0
2153812,2153812,766.0
2153813,2153813,764.0
2153814,2153814,768.0
2153815,2153815,771.0
2153816,2153816,769.0
2153817,2153817,766.0
2153818,2153818,759.0
2153819,2153819,778.0
2153820,2153820,761.0
2153821,2153821,765.0
2153822,2153822,767.0
2153823,2153823,770.0
2153824,2153824,771.0
2153825,2153825,764.0
2153826,2153826,781.0
2153827,2153827,771.0
2153828,2153828,764.0
2153829,2153829,768.0
2153830,2153830,763.0
2153831,2153831,780.0
2153832,2153832,766.0
2153833,2153833,777.0
2153834,2153834,768.0
2153835,2153835,772.0
2153836,2153836,772.0
2153837,2153837,765.0
2153838,2153838,765.0
2153839,2153839,773.0
2153840,2153840,776.0
2153841,2153841,764.0
2153842,2153842,774.0
2153843,2153843,771.0
2153844,2153844,764.0
2153845,2153845,771.0
2153846,2153846,762.0
2153847,2153847,767.0
2153848,2153848,763.0
2153849,2153849,776.0
2153850,2153850,763.0
2153851,2153851,770.0
2153852,2153852,775.0
2153853,2153853,773.0
2153854,2153854,766.0
2153855,2153855,769.0
2153856,2153856,778.0
2153857,2153857,775.0
2153858,2153858,765.0
2153859,2153859,778.0
2153860,2153860,766.0
2153861,2153861,770.0
2153862,2153862,780.0
2153863,2153863,764.0
2153864,2153864,765.0
2153865,2153865,763.0
2153866,2153866,772.0
2153867,2153867,769.0
2153868,2153868,767.0
2153869,2153869,764.0
2153870,2153870,770.0
2153871,2153871,765.0
2153872,2153872,762.0
2153873,2153873,772.0
2153874,2153874,771.0
2153875,2153875,772.0
2153876,2153876,773.0
2153877,2153877,773.0
2153878,2153878,772.0
2153879,2153879,767.0
2153880,2153880,776.0
2153881,2153881,773.0
2153882,2153882,778.0
2153883,2153883,768.0
2153884,2153884,765.0
2153885,2153885,768.0
