,time,dryer
3087,1601087,275
3088,1601088,279
3089,1601089,262
3090,1601090,278
3091,1601091,288
3092,1601092,275
3093,1601093,270
3094,1601094,289
3095,1601095,284
3096,1601096,285
3097,1601097,297
3098,1601098,281
3099,1601099,274
3100,1601100,282
3101,1601101,277
3102,1601102,281
3103,1601103,306
3104,1601104,286
3105,1601105,268
3106,1601106,276
3107,1601107,265
3108,1601108,256
3109,1601109,273
3110,1601110,280
3111,1601111,267
3112,1601112,275
3113,1601113,269
3114,1601114,266
3115,1601115,293
3116,1601116,281
3117,1601117,275
3118,1601118,280
3119,1601119,287
3120,1601120,272
3121,1601121,307
3122,1601122,298
3123,1601123,288
3124,1601124,281
3125,1601125,273
3126,1601126,276
3127,1601127,301
3128,1601128,292
3129,1601129,279
3130,1601130,272
3131,1601131,270
3132,1601132,278
3133,1601133,297
3134,1601134,287
3135,1601135,274
3136,1601136,280
3137,1601137,278
3138,1601138,272
3139,1601139,290
3140,1601140,277
3141,1601141,258
3142,1601142,259
3143,1601143,269
3144,1601144,251
3145,1601145,285
3146,1601146,290
3147,1601147,270
3148,1601148,278
3149,1601149,286
3150,1601150,271
3151,1601151,281
3152,1601152,283
3153,1601153,264
3154,1601154,266
3155,1601155,262
3156,1601156,253
3157,1601157,279
3158,1601158,303
3159,1601159,276
3160,1601160,272
3161,1601161,278
3162,1601162,268
3163,1601163,281
3164,1601164,294
3165,1601165,276
3166,1601166,271
3167,1601167,284
3168,1601168,279
3169,1601169,287
3170,1601170,300
3171,1601171,266
3172,1601172,257
3173,1601173,270
3174,1601174,260
3175,1601175,274
3176,1601176,299
3177,1601177,274
3178,1601178,267
3179,1601179,278
3180,1601180,268
3181,1601181,3087
3182,1601182,3059
3183,1601183,3005
3184,1601184,2971
3185,1601185,2956
3186,1601186,2926
3187,1601187,2932
3188,1601188,2937
3189,1601189,2907
3190,1601190,2892
3191,1601191,2892
3192,1601192,2863
3193,1601193,2861
3194,1601194,2872
3195,1601195,2866
3196,1601196,2855
3197,1601197,2869
3198,1601198,2873
3199,1601199,2871
3200,1601200,2891
3201,1601201,2869
3202,1601202,2860
3203,1601203,2868
3204,1601204,2850
3205,1601205,2842
3206,1601206,2880
3207,1601207,2848
3208,1601208,2852
3209,1601209,2859
3210,1601210,2852
3211,1601211,2848
3212,1601212,2878
3213,1601213,2862
3214,1601214,2833
3215,1601215,2851
3216,1601216,2858
3217,1601217,2860
3218,1601218,2862
3219,1601219,2858
3220,1601220,2841
3221,1601221,2857
3222,1601222,2849
3223,1601223,2857
3224,1601224,2865
3225,1601225,2840
3226,1601226,2841
3227,1601227,2850
3228,1601228,2856
3229,1601229,2853
3230,1601230,2883
3231,1601231,2862
3232,1601232,2849
3233,1601233,2857
3234,1601234,2841
3235,1601235,2842
3236,1601236,2860
3237,1601237,2854
3238,1601238,2838
3239,1601239,2855
3240,1601240,2846
3241,1601241,2833
3242,1601242,2846
3243,1601243,2834
3244,1601244,2829
3245,1601245,2850
3246,1601246,2836
3247,1601247,2847
3248,1601248,2869
3249,1601249,2855
3250,1601250,2835
3251,1601251,2845
3252,1601252,2825
3253,1601253,2825
3254,1601254,2855
3255,1601255,2852
3256,1601256,2829
3257,1601257,2845
3258,1601258,2840
3259,1601259,2836
3260,1601260,2845
3261,1601261,2855
3262,1601262,2846
3263,1601263,2859
3264,1601264,2855
3265,1601265,2839
3266,1601266,2865
3267,1601267,2863
3268,1601268,2844
3269,1601269,2834
3270,1601270,2850
3271,1601271,2848
3272,1601272,2855
3273,1601273,2862
3274,1601274,2846
3275,1601275,2839
3276,1601276,277
3277,1601277,264
3278,1601278,278
3279,1601279,290
3280,1601280,273
3281,1601281,277
3282,1601282,282
3283,1601283,267
3284,1601284,280
3285,1601285,291
3286,1601286,274
3287,1601287,263
3288,1601288,271
3289,1601289,265
3290,1601290,265
3291,1601291,291
3292,1601292,271
3293,1601293,267
3294,1601294,275
3295,1601295,266
3296,1601296,270
3297,1601297,291
3298,1601298,288
3299,1601299,269
3300,1601300,276
3301,1601301,263
3302,1601302,262
3303,1601303,283
3304,1601304,270
3305,1601305,255
3306,1601306,275
3307,1601307,267
3308,1601308,272
3309,1601309,304
3310,1601310,287
3311,1601311,279
3312,1601312,285
3313,1601313,274
3314,1601314,260
3315,1601315,289
3316,1601316,282
3317,1601317,254
3318,1601318,286
3319,1601319,268
3320,1601320,264
3321,1601321,294
3322,1601322,278
3323,1601323,274
3324,1601324,274
3325,1601325,272
3326,1601326,277
3327,1601327,287
3328,1601328,289
3329,1601329,262
3330,1601330,276
3331,1601331,282
3332,1601332,274
3333,1601333,287
3334,1601334,286
3335,1601335,263
3336,1601336,263
3337,1601337,273
3338,1601338,268
3339,1601339,287
3340,1601340,290
3341,1601341,268
3342,1601342,267
3343,1601343,276
3344,1601344,262
3345,1601345,291
3346,1601346,296
3347,1601347,274
3348,1601348,267
3349,1601349,266
3350,1601350,257
3351,1601351,275
3352,1601352,278
3353,1601353,254
3354,1601354,256
3355,1601355,264
3356,1601356,255
3357,1601357,273
3358,1601358,293
3359,1601359,270
3360,1601360,269
3361,1601361,283
3362,1601362,276
3363,1601363,274
3364,1601364,300
3365,1601365,280
3366,1601366,261
3367,1601367,264
3368,1601368,252
3369,1601369,283
3370,1601370,304
3371,1601371,273
3372,1601372,273
3373,1601373,275
3374,1601374,251
3375,1601375,268
3376,1601376,283
3377,1601377,261
3378,1601378,248
3379,1601379,276
3380,1601380,283
3381,1601381,275
3382,1601382,294
3383,1601383,266
3384,1601384,259
3385,1601385,268
3386,1601386,259
3387,1601387,276
3388,1601388,286
3389,1601389,265
3390,1601390,253
3391,1601391,273
3392,1601392,256
3393,1601393,270
3394,1601394,292
3395,1601395,280
3396,1601396,279
3397,1601397,281
3398,1601398,274
3399,1601399,268
3400,1601400,287
3401,1601401,273
3402,1601402,272
3403,1601403,281
3404,1601404,268
3405,1601405,277
3406,1601406,295
3407,1601407,280
3408,1601408,273
3409,1601409,287
3410,1601410,275
3411,1601411,266
3412,1601412,280
3413,1601413,267
3414,1601414,264
3415,1601415,276
3416,1601416,273
3417,1601417,281
3418,1601418,296
3419,1601419,3049
3420,1601420,3003
3421,1601421,2981
3422,1601422,2940
3423,1601423,2930
3424,1601424,2937
3425,1601425,2907
